time;fps;minFps;maxFps;ram;vram;activeChunks;generateChunk;staticRenderRegion;staticRenderRegion2;chunkLoad;lightMapUpdate;lightMapUpdate2;gpuBlockIDMapUpdate;gcCollect
117.906;23;18;35;1281;2185;4744;38;37;42;78;10;10;181;0;
118.925;28;20;42;1356;2185;4581;32;104;96;35;26;25;36;0;
119.937;33;21;51;1431;2185;4466;39;102;107;17;24;25;17;0;
120.952;40;25;60;1524;2185;4308;36;140;140;34;36;36;34;0;
121.961;43;26;63;1617;2185;4222;41;205;206;49;52;52;49;0;
122.987;46;26;67;1715;2185;4079;40;164;165;49;40;41;49;0;
123.988;40;28;66;1780;2185;3991;47;122;121;40;30;30;40;0;
124.993;39;23;60;1876;2185;3844;36;168;168;40;41;40;40;0;
125.999;42;26;64;1969;2185;3700;33;135;136;39;34;35;39;0;
127.009;42;25;71;2038;2185;3568;45;161;155;49;41;38;49;0;
128.014;45;27;76;2107;2185;3491;48;157;162;48;37;39;48;0;
129.024;50;29;78;2194;2185;3347;43;200;202;41;51;52;19;0;
130.05;52;28;80;2279;2185;3258;46;220;216;26;54;54;48;0;
131.243;30;1;81;1249;2185;3181;26;120;121;48;29;27;48;1;
132.259;42;8;78;1339;2185;3041;36;165;168;34;40;42;34;0;
133.27;52;30;80;1416;2185;2924;46;187;188;48;45;44;48;0;
134.271;49;32;79;1483;2185;2810;48;165;156;48;41;39;36;0;
135.28;47;32;76;1547;2185;2760;46;156;162;29;39;41;41;0;
136.3;44;29;70;1631;2185;2633;35;162;162;37;39;40;37;0;
137.316;43;25;68;1715;2185;2512;37;160;161;43;39;39;41;0;
138.341;36;26;47;1715;2185;2511;66;10;0;0;2;0;2;0;
139.361;39;28;76;1720;2185;2585;67;12;13;82;3;3;41;0;
140.382;40;30;78;1732;2185;2657;69;34;39;94;9;9;134;0;
141.388;36;27;50;1732;2185;2740;67;10;13;83;2;3;1;0;
142.4;34;24;65;1736;2185;2761;60;22;17;29;6;5;111;0;
143.423;33;24;44;1737;2185;2852;64;8;13;91;2;3;1;0;
144.433;33;21;68;1741;2185;2923;61;11;13;79;2;3;91;0;
145.457;34;24;67;1755;2185;2917;59;24;18;21;6;5;99;0;
146.467;33;21;44;1759;2185;3002;61;21;26;92;6;6;90;0;
147.489;33;25;44;1760;2185;3002;62;9;0;0;2;0;0;0;
148.505;35;29;65;1772;2185;3089;59;13;21;111;3;5;3;0;
149.527;34;25;44;1776;2185;3083;61;10;0;0;2;0;0;0;
150.528;32;21;44;1776;2185;3222;61;8;20;139;3;5;111;0;
151.543;33;25;65;1780;2185;3215;62;9;0;0;2;0;0;0;
152.549;32;21;43;1780;2185;3303;61;9;13;88;2;3;139;0;
153.58;34;24;66;1791;2185;3362;61;10;12;78;2;4;88;0;
154.602;34;30;45;1791;2185;3362;62;9;0;0;3;0;0;0;
155.607;36;23;70;1802;2185;3483;63;14;26;143;3;6;171;0;
156.62;36;28;49;1803;2185;3483;71;10;0;0;3;0;0;0;
157.621;37;26;50;1805;2185;3575;69;22;26;96;5;6;141;0;
158.624;38;33;50;1808;2185;3571;70;11;6;0;3;2;5;0;
159.636;36;27;49;1808;2185;3696;71;10;13;125;3;3;0;0;
160.644;34;25;69;1815;2185;3760;67;12;13;77;3;3;125;0;
161.667;31;21;43;1816;2185;3846;62;9;12;86;2;4;77;0;
162.688;31;18;42;1819;2185;3840;62;9;2;0;2;0;86;0;
163.701;30;21;42;1819;2185;3943;59;8;13;103;2;3;0;0;
164.722;31;23;61;1824;2185;3987;62;14;13;52;3;3;103;0;
165.753;31;23;41;1825;2185;4080;62;8;12;95;3;4;52;0;
166.772;30;21;41;1826;2185;4163;63;10;13;84;2;3;95;0;
167.776;30;23;41;1826;2185;4163;61;9;0;0;2;0;0;0;
168.793;31;23;42;1830;2185;4229;61;11;13;73;3;3;84;0;
169.811;31;21;42;1831;2185;4323;60;9;13;94;2;3;73;0;
170.817;30;23;42;1831;2185;4323;63;9;0;0;2;0;0;0;
171.829;30;17;42;1832;2185;4414;64;8;13;92;2;3;94;0;
172.833;46;24;62;1832;2185;4489;19;268;267;75;68;67;167;0;
173.842;53;43;60;1833;2185;4489;0;452;461;0;113;116;0;0;
174.844;54;44;61;1834;2185;4489;0;516;506;0;129;127;0;0;
175.848;55;47;61;1834;2185;4489;0;542;552;0;136;137;0;0;
176.857;54;47;60;1835;2185;4489;0;543;543;0;136;136;0;0;
177.857;53;46;58;1835;2185;4489;0;533;528;0;133;132;0;0;
178.861;52;43;57;1836;2185;4489;0;519;524;0;130;132;0;0;
179.866;47;39;53;1837;2185;4489;0;472;468;0;118;116;0;0;
180.875;43;37;47;1837;2185;4489;0;428;432;0;107;109;0;0;
181.877;45;37;50;1838;2185;4489;0;449;449;0;113;112;0;0;
182.895;48;39;51;1838;2185;4489;0;484;480;0;121;120;0;0;
183.912;49;43;52;1839;2185;4489;0;496;500;0;124;125;0;0;
184.916;48;43;51;1839;2185;4489;0;488;488;0;122;123;0;0;
185.928;48;41;51;1840;2185;4489;0;488;484;0;122;120;0;0;
186.94;48;44;50;1840;2185;4489;0;480;484;0;120;121;0;0;
187.961;44;37;49;1841;2185;4489;0;440;440;0;110;110;0;0;
188.962;43;36;45;1841;2185;4489;0;4;4;0;1;2;0;0;
189.973;47;43;48;1842;2185;4489;0;0;0;0;0;0;0;0;
190.985;50;45;50;1842;2185;4489;0;0;0;0;0;0;0;0;
192.002;52;47;52;1843;2185;4489;0;0;0;0;0;0;0;0;
193.004;52;48;52;1843;2185;4489;0;0;0;0;0;0;0;0;
194.01;52;47;52;1844;2185;4489;0;0;0;0;0;0;0;0;
195.024;50;46;51;1844;2185;4489;0;0;0;0;0;0;0;0;
196.033;45;42;46;1845;2185;4489;0;0;0;0;0;0;0;0;
197.038;47;42;48;1845;2185;4489;0;0;0;0;0;0;0;0;
198.05;50;45;50;1846;2185;4489;0;0;0;0;0;0;0;0;
199.065;52;47;52;1846;2185;4489;0;0;0;0;0;0;0;0;
